8,4,9,5,7,2,10,3,6,1,game_id,home_away
beltc001,feblc001,quinm001,randj002,browd002,maynb001,sweem002,ibanr001,peren001,durbc001,ANA200109050,away
erstd001,kenna001,salmt001,glaut001,andeg001,molib001,fernj001,spies001,gil-b001,schos001,ANA200109060,home
beltc001,feblc001,quinm001,randj002,sadld001,zaung001,sweem002,mccad001,peren001,byrdp001,ANA200109060,away
erstd001,kenna001,salmt001,glaut001,andeg001,molib001,fernj001,spies001,ecksd001,ortir002,ANA200109070,home
huntt001,rival001,hockd001,koskc001,jonej003,piera001,ortid001,miend001,guzmc001,lohsk001,ANA200109070,away
erstd001,kenna001,davaj001,glaut001,andeg001,molij001,salmt001,spies001,ecksd001,rappp001,ANA200109080,home
huntt001,rival001,kielb001,koskc001,jonej003,piera001,ortid001,miend001,guzmc001,reedr002,ANA200109080,away
erstd001,gil-b001,salmt001,glaut001,andeg001,molib001,fernj001,spies001,ecksd001,washj001,ANA200109090,home
huntt001,rival001,buchb002,koskc001,mohrd001,print001,lecrm001,miend001,guzmc001,milte001,ANA200109090,away
erstd001,kenna001,salmt001,glaut001,andeg001,molib001,davaj001,spies001,ecksd001,valdi001,ANA200109100,home
camem001,boonb002,suzui001,belld002,javis001,wilsd001,marte001,olerj001,mclem001,garcf002,ANA200109100,away
erstd001,nievj002,salmt001,glaut001,andeg001,molib001,kenna001,spies001,ecksd001,valdi001,ANA200109280,home
kaplg001,younm003,sierr001,shels001,cataf001,haseb001,palmr001,penac001,rodra001,myeta001,ANA200109280,away
palmo001,kenna001,davaj001,glaut001,andeg001,fabrj001,salmt001,erstd001,ecksd001,ortir002,ANA200109290,home
kaplg001,younm003,sierr001,lambm001,cataf001,jensm001,palmr001,penac001,rodra001,hellr001,ANA200109290,away
davaj001,nievj002,salmt001,glaut001,palmo001,molib001,andeg001,erstd001,gil-b001,schos001,ANA200109300,home
kaplg001,younm003,monrc001,shels001,curtc001,haseb001,sierr001,palmr001,rodra001,david002,ANA200109300,away
davaj001,kenna001,salmt001,glaut001,andeg001,molib001,spies001,erstd001,ecksd001,washj001,ANA200110020,home
camem001,boonb002,javis001,sprae001,buhnj001,wilsd001,marte001,olerj001,gipsc001,abbop001,ANA200110020,away
davaj001,kenna001,palmo001,glaut001,andeg001,fabrj001,spies001,erstd001,ecksd001,wisem001,ANA200110030,home
camem001,boonb002,suzui001,sprae001,javis001,wilsd001,marta001,olerj001,vazqr001,garcf002,ANA200110030,away
davaj001,gil-b001,salmt001,glaut001,andeg001,molib001,ecksd001,erstd001,nievj002,valdi001,ANA200110040,home
damoj001,santf001,bellm002,chave001,longt002,hernr002,giamj002,giamj001,tejam001,muldm001,ANA200110040,away
palmo001,kenna001,salmt001,glaut001,andeg001,fabrj001,spies001,erstd001,ecksd001,ortir002,ANA200110050,home
damoj001,menef001,dye-j001,chave001,longt002,hernr002,giamj002,giamj001,tejam001,hudst001,ANA200110050,away
davaj001,kenna001,palmo001,spies001,andeg001,molib001,glaut001,erstd001,ecksd001,schos001,ANA200110060,home
byrne001,menef001,dye-j001,chave001,longt002,hernr002,gantr001,saeno001,tejam001,hilje001,ANA200110060,away
moram002,hairj002,andeb001,ripkc001,deshd001,fordb001,richc001,segud001,bordm001,hentp001,BAL200104020,home
everc001,stync001,nixot001,hills002,oleat001,varij001,ramim002,daubb001,grebc001,martp001,BAL200104020,away
moram002,hairj002,richc001,ripkc001,andeb001,fordb001,deshd001,segud001,bordm001,ponss001,BAL200104040,home
everc001,stync001,nixot001,hills002,oleat001,varij001,ramim002,daubb001,grebc001,nomoh001,BAL200104040,away
moram002,hairj002,andeb001,ripkc001,deshd001,fordb001,conij001,segud001,bordm001,johnj007,BAL200104050,home
everc001,offej001,nixot001,hills002,oleat001,varij001,ramim002,daubb001,lansm001,castf001,BAL200104050,away
andeb001,hairj002,richc001,ripkc001,deshd001,fordb001,gibbj002,segud001,bordm001,hentp001,BAL200104130,home
willg001,johnr006,grieb001,huffa001,vaugg001,flahj001,cox-s001,mcgrf001,martf001,lopea002,BAL200104130,away
moram002,hairj002,andeb001,ripkc001,deshd001,myerg001,segud001,richc001,bordm001,mcelc001,BAL200104140,home
willg001,johnr006,guilj001,huffa001,vaugg001,difem001,grieb001,mcgrf001,martf001,wilsp001,BAL200104140,away
moram002,hairj002,andeb001,ripkc001,deshd001,myerg001,gibbj002,richc001,bordm001,ponss001,BAL200104150,home
willg001,johnr006,grieb001,huffa001,vaugg001,flahj001,mcgrf001,cox-s001,martf001,rekab001,BAL200104150,away
moram002,hairj002,andeb001,ripkc001,deshd001,fordb001,myerg001,richc001,bordm001,johnj007,BAL200104160,home
willg001,johnr006,grieb001,huffa001,vaugg001,flahj001,cox-s001,mcgrf001,martf001,ruper001,BAL200104160,away
moram002,hairj002,andeb001,ripkc001,deshd001,fordb001,myerg001,richc001,bordm001,mercj001,BAL200104170,home
loftk001,alomr001,gonzj002,branr001,cordw001,diaze002,burke001,thomj002,vizqo001,burbd001,BAL200104170,away
andeb001,hairj002,richc001,kinkm001,deshd001,myerg001,segud001,gibbj002,bordm001,hentp001,BAL200104180,home
loftk001,alomr001,gonzj002,branr001,cordm001,diaze002,burke001,thomj002,vizqo001,colob001,BAL200104180,away
moram002,hairj002,andeb001,ripkc001,kinkm001,fordb001,conij001,segud001,bordm001,mcelc001,BAL200104190,home
loftk001,alomr001,gonzj002,branr001,burke001,diaze002,cordm001,cordw001,cabrj002,sabac001,BAL200104190,away
moram002,hairj002,andeb001,kinkm001,deshd001,fordb001,gibbj002,richc001,bordm001,robew001,BAL200104300,home
willg001,johnr006,guilj001,castv001,grieb001,flahj001,vaugg001,mcgrf001,martf001,wilsp001,BAL200104300,away
moram002,hairj002,andeb001,ripkc001,deshd001,fordb001,gibbj002,richc001,bordm001,johnj007,BAL200105010,home
willg001,rolld001,guilj001,castv001,grieb001,difem001,vaugg001,mcgrf001,johnr006,rekab001,BAL200105010,away
richc001,hairj002,andeb001,ripkc001,deshd001,lunaf001,gibbj002,conij001,moram002,mercj001,BAL200105020,home
willg001,rolld001,guilj001,castv001,vaugg001,flahj001,grieb001,cox-s001,martf001,ruper001,BAL200105020,away
moram002,hairj002,richc001,ripkc001,andeb001,fordb001,kinkm001,conij001,bordm001,mcelc001,BAL200105030,home
willb002,soria001,oneip001,bross001,knobc001,olivj001,justd001,martt002,jeted001,lillt001,BAL200105030,away
moram002,hairj002,andeb001,conij001,deshd001,fordb001,gibbj002,richc001,bordm001,hentp001,BAL200105040,home
willb002,sojol001,oneip001,bross001,knobc001,posaj001,justd001,martt002,jeted001,clemr001,BAL200105040,away
kingg001,hairj002,richc001,ripkc001,deshd001,lunaf001,kinkm001,conij001,bordm001,robew001,BAL200105050,home
willb002,soria001,oneip001,bross001,knobc001,posaj001,justd001,martt002,jeted001,petta001,BAL200105050,away
richc001,hairj002,andeb001,ripkc001,deshd001,fordb001,gibbj002,conij001,bordm001,johnj007,BAL200105060,home
willb002,sojol001,oneip001,bross001,justd001,posaj001,knobc001,martt002,jeted001,mussm001,BAL200105060,away
moram002,hairj002,richc001,conij001,andeb001,fordb001,myerg001,segud001,bordm001,ponss001,BAL200105150,home
encaj001,easld001,ceder001,macij001,higgb001,ingeb001,palmd002,clart002,cruzd001,mlicd001,BAL200105150,away
moram002,hairj002,richc001,ripkc001,deshd001,fordb001,myerg001,segud001,bordm001,hentp001,BAL200105160,home
encaj001,easld001,ceder001,macij001,higgb001,ingeb001,palmd002,clart002,cruzd001,weavj002,BAL200105160,away
richc001,hairj002,andeb001,ripkc001,deshd001,fordb001,myerg001,segud001,bordm001,robew001,BAL200105170,home
encaj001,easld001,ceder001,halts001,higgb001,fickr001,palmd002,clart002,cruzd001,spars001,BAL200105170,away
moram002,hairj002,richc001,ripkc001,kinkm001,fordb001,segud001,conij001,bordm001,johnj007,BAL200105180,home
huntt001,rival001,lawtm002,koskc001,jonej003,print001,buchb002,miend001,guzmc001,milte001,BAL200105180,away
richc001,hairj002,andeb001,conij001,gibbj002,fordb001,deshd001,segud001,bordm001,mercj001,BAL200105190,home
huntt001,rival001,lawtm002,koskc001,jonej003,piera001,hockd001,miend001,guzmc001,maysj001,BAL200105190,away
moram002,hairj002,richc001,ripkc001,kinkm001,lunaf001,segud001,conij001,bordm001,ponss001,BAL200105200,home
huntt001,maxwj001,allec001,koskc001,jonej003,piera001,hockd001,miend001,guzmc001,redmm002,BAL200105200,away
moram002,hairj002,andeb001,ripkc001,deshd001,fordb001,segud001,conij001,bordm001,robew001,BAL200105230,home
erstd001,kenna001,salmt001,glaut001,andeg001,fabrj001,palmo001,joynw001,ecksd001,schos001,BAL200105230,away
richc001,hairj002,andeb001,ripkc001,gibbj002,fordb001,conij001,segud001,bordm001,johnj007,BAL200105240,home
erstd001,kenna001,salmt001,glaut001,andeg001,woots001,spies001,joynw001,ecksd001,ortir002,BAL200105240,away
