game_id,var,value
ANA200105030,visteam,CHA
ANA200105030,hometeam,ANA
ANA200105030,site,ANA01
ANA200105030,date,5/3/01
ANA200105030,number,0
ANA200105030,starttime,7:07PM
ANA200105030,daynight,night
ANA200105030,usedh,TRUE
ANA200105030,umphome,timmt901
ANA200105030,ump1b,cedeg901
ANA200105030,ump2b,hudsm901
ANA200105030,ump3b,welkt901
ANA200105030,howscored,park
ANA200105030,pitches,pitches
ANA200105030,oscorer,munse701
ANA200105030,temp,66
ANA200105030,winddir,ltor
ANA200105030,windspeed,4
ANA200105030,fieldcond,unknown
ANA200105030,precip,unknown
ANA200105030,sky,sunny
ANA200105030,timeofgame,139
ANA200105030,attendance,15372
ANA200105030,wp,valdi001
ANA200105030,lp,baldj002
ANA200105030,save,perct001
ANA200105030,hometeam_score,3
ANA200105030,awayteam_score,1
ANA200105040,visteam,DET
ANA200105040,hometeam,ANA
ANA200105040,site,ANA01
ANA200105040,date,5/4/01
ANA200105040,number,0
ANA200105040,starttime,7:08PM
ANA200105040,daynight,night
ANA200105040,usedh,TRUE
ANA200105040,umphome,cousd901
ANA200105040,ump1b,brinj901
ANA200105040,ump2b,nelsj901
ANA200105040,ump3b,phild901
ANA200105040,howscored,park
ANA200105040,pitches,pitches
ANA200105040,oscorer,munse701
ANA200105040,temp,70
ANA200105040,winddir,ltor
ANA200105040,windspeed,8
ANA200105040,fieldcond,unknown
ANA200105040,precip,unknown
ANA200105040,sky,sunny
ANA200105040,timeofgame,196
ANA200105040,attendance,36690
ANA200105040,wp,webeb001
ANA200105040,lp,murrh001
ANA200105040,save,perct001
ANA200105040,hometeam_score,7
ANA200105040,awayteam_score,5
ANA200105050,visteam,DET
ANA200105050,hometeam,ANA
ANA200105050,site,ANA01
ANA200105050,date,5/5/01
ANA200105050,number,0
ANA200105050,starttime,7:06PM
ANA200105050,daynight,night
ANA200105050,usedh,TRUE
ANA200105050,umphome,brinj901
ANA200105050,ump1b,nelsj901
ANA200105050,ump2b,phild901
ANA200105050,ump3b,cousd901
ANA200105050,howscored,park
ANA200105050,pitches,pitches
